Account Opening,plan_number,MSG_PLAN_NUMBER_MISMATCH,Account Opening API Plan Number mismatch P3 Record,
Account Opening,first_name,MSG_FIRST_NM_MISMATCH,Account Opening API Customer First Name mismatch P3 Record,
Account Opening,last_name,MSG_LAST_NM_MISMATCH,Account Opening API Customer Last Name mismatch P3 Record,
Account Opening,suffix,MSG_NAME_SFFX,Account Opening API Customer Name Suffix mismatch P3 Record,
Account Opening,gender,MSG_GENDER_MISMATCH,Account Opening API Customer Gender mismatch P3 Record,
Account Opening,dob,MSG_DOB_MISMATCH,Account Opening API Customer DOB mismatch P3 Record,
Account Opening,ssn,MSG_SSN_MISMATCH,Account Opening API Customer SSN mismatch P3 Record,
Account Opening,marital_status,MSG_MARITAL_STATUS_MISMATCH,Account Opening API Customer Marital Status mismatch P3 Record,
Account Opening,citizenship,MSG_CITIZENSHIP_MISMATCH,Account Opening API Customer Citizenship mismatch P3 Record,
Account Opening,not_us_citizenship,MSG_CITIZENSHIP_NOT_US,Account Opening API Customer Not US Citizen,
Account Opening,email,MSG_EMAIL_ADDRESS_MISMATCH,Account Opening API Customer Email Address mismatch P3 Record,
Account Opening,primary_phone,MSG_PRIMARY_PHONE_NUMBER_MISMATCH,Account Opening API Customer Primary Phone Number mismatch P3 Record,
Account Opening,primary_phone_type,MSG_PRIMARY_PHONE_NUMBER_TYPE_MISMATCH,Account Opening API Customer Primary Phone_Number Type mismatch P3 Record,
Account Opening,address1,MSG_ADDRESS_LINE_1_MISMATCH,Account Opening API Customer Address Line 1 mismatch P3 Record,
Account Opening,address1,MSG_ADDRESS_LINE_2_MISMATCH,Account Opening API Customer Address Line 2 mismatch P3 Record,
Account Opening,city,MSG_CITY_MISMATCH,Account Opening API Customer City mismatch P3 Record,
Account Opening,state,MSG_STATE_MISMATCH,Account Opening API Customer State mismatch P3 Record,
Account Opening,zip_cod,MSG_ZIP_CODE_MISMATCH,Account Opening API Customer Zip Code mismatch P3 Record,
Account Opening,country,MSG_COUNTRY_MISMATCH,Account Opening API Customer Country Does Not Match P3 Record,
Account Opening,not_us_country,MSG_COUNTRY_NOT_US,Account Opening API Customer Country not US,
Account Opening,mothers_maiden_name,MSG_MOTHER'S_MAIDEN_NAME_MISMATCH,Account Opening API Customer Mother's Maiden Name mismatch P3 Record,
Primary Beneficiary,prim_bene_entity,MSG_PRIM_BENE_ENTITY_MISMATCH,Primary Beneficiary API Person Entity Name mismatch P3 Record,
Primary Beneficiary,prime_bene_relatonship,MSG_PRIM_BENE_RELATIONSHIP_MISMATCH,Primary Beneficiary API Relationship mismatch P3 Record,
Primary Beneficiary,prime_bene_first_name,MSG_PRIM_BENE_FIRST_NAME_MISMATCH,Primary Beneficiary API First Name mismatch P3 Record,
Primary Beneficiary,prim_bene_last_name,MSG_PRIM_BENE_LAST_NAME_MISMATCH,Primary Beneficiary API Last Name mismatch P3 Record,
Primary Beneficiary,prim_bene_suffix,MSG_PRIM_BENE_SUFFIX_MISMATCH,Primary Beneficiary API Suffix mismatch P3 Record,
Primary Beneficiary,prim_bene_gender,MSG_PRIM_BENE_GENDER_MISMATCH,Primary Beneficiary API gender mismatch P3 Record,
Primary Beneficiary,prim_bene_dob,MSG_PRIM_BENE_DOB_MISMATCH,Primary Beneficiary API DOB mismatch P3 Record,
Primary Beneficiary,prime_bene_ssn,MSG_PRIM_BENE_SSN_MISMATCH,Primary Beneficiary API SSN mismatch P3 Record,
Primary Beneficiary,prim_bene_phone,MSG_PRIM_BENE_PHONE_NUMBER_MISMATCH,Primary Beneficiary API Phone Number mismatch P3 Record,
Primary Beneficiary,prim_bene_percentage,MSG_PRIM_BENE_PERCENTAGE_MISMATCH,Primary Beneficiary API Percentage mismatch P3 Record,
Primary Beneficiary,prim_bene_address1,MSG_PRIM_BENE_ADDRESS_LINE_1_MISMATCH,Primary Beneficiary API Address Line 1 mismatch P3 Record,
Primary Beneficiary,prim_bene_city,MSG_PRIM_BENE_CITY_MISMATCH,Primary Beneficiary API City mismatch P3 Record,
Primary Beneficiary,prim_bene_state,MSG_PRIM_BENE_STATE_MISMATCH,Primary Beneficiary API State mismatch P3 Record,
Primary Beneficiary,prim_bene_zip,MSG_PRIM_BENE_ZIP_MISMATCH,Primary Beneficiary API Zip Code mismatch P3 Record,
Contingent Beneficiary,ctg_bene_entity,MSG_CNTG_BENE_ENTITY_MISMATCH,Contingent Beneficiary API Person Entity Name mismatch P3 Record,
Contingent Beneficiary,ctg_bene_relationship,MSG_CNTG_BENE_RELATIONSHIP_MISMATCH,Contingent Beneficiary API Relationship mismatch P3 Record,
Contingent Beneficiary,ctg_bene_first_name,MSG_CNTG_BENE_FIRST_NAME_MISMATCH,Contingent Beneficiary API First Name mismatch P3 Record,
Contingent Beneficiary,ctg_bene_last_name,MSG_CNTG_BENE_LAST_NAME_MISMATCH,Contingent Beneficiary API Last Name mismatch P3 Record,
Contingent Beneficiary,ctg_ben_suffix,MSG_CNTG_BENE_SUFFIX_MISMATCH,Contingent Beneficiary API Suffix mismatch P3 Record,
Contingent Beneficiary,ctg_bene_gender,MSG_CNTG_BENE_GENDER_MISMATCH,Contingent Beneficiary API Gender mismatch P3 Record,
Contingent Beneficiary,ctg_bene_dob,MSG_CNTG_BENE_DOB_MISMATCH,Contingent Benficiary API DOB mismatch P3 Record,
Contingent Beneficiary,ctg_bene_ssn,MSG_CNTG_BENE_SSN_MISMATCH,Contingent Beneficiary API SSN mismatch P3 Record,
Contingent Beneficiary,ctg_bene_phone,MSG_CNTG_BENE_PHONE_NUMBER_MISMATCH,Contingent Beneficiary API Phone Number mismatch P3 Record,
Contingent Beneficiary,ctg_bene_percentage,MSG_CNTG_BENE_PERCENTAGE_MISMATCH,Contingent Beneficiary API Percentage mismatch P3 Record,
Contingent Beneficiary,ctg_bene_address1,MSG_CNTG_BENE_ADDRESS_LINE_1_MISMATCH,Contingent Beneficiary API Address Line 1 mismatch P3 Record,
Contingent Beneficiary,ctg_bene_city,MSG_CNTG_BENE_CITY_MISMATCH,Contingent Beneficiary API City mismatch P3 Record,
Contingent Beneficiary,ctg_bene_state,MSG_CNTG_BENE_STATE_MISMATCH,Contingent Beneficiary API State mismatch P3 Record,
Contingent Beneficiary,ctg_bene_zip,MSG_CNTG_BENE_ZIP_CODE_MISMATCH,Contingent Beneficiary API Zip Code mismatch P3 Record,
Service Subscription,tpa_ira_not_subscribed,MSG_TPP_IRA_NOT_SUBSCRIBED,Account Opening TPP IRA Service Customer Not Subscribed,
Service Subscription,tpa_ira_not_subscribed_with_balance,MSG_TPP_IRA_NOT_SUBSCRIBED_WITH_BALANCE,TPP IRA Service Customer With Balance Is Not Subscribed,
Edelivery Capture,edelivery,MSG_EDELIVERY_SELECTION_MISMATCH,Account Opening API Customer Edelivery Preference MisMatch,